Datum;"Produktion
Rohgas";"Bezug Roh-
Gas BGAA
Cirmac";"Bezug Roh-
Gas Fackel";"Bezug Roh-
Gas gesamt";"Einspeisung
Messung";;"Produktion
trocken";"Konsum
trocken"
24.07.15;29'774;5'892;;5'892;;;23'833;5'100
25.07.15;25'470;0;;0;;;20'388;0
26.07.15;22'036;113;;113;;;17'639;98
27.07.15;25'508;1'931;;1'931;;;20'418;1'671
28.07.15;27'056;148;;148;;;21'657;128
29.07.15;24'928;723;;723;;;19'954;626
30.07.15;27'464;735;;735;;;21'984;636
31.07.15;25'648;4'695;;4'695;369'529;4'078'861;20'530;4'064
01.08.15;23'724;7;;7;;;18'990;6
02.08.15;19'968;3'604;;3'604;;;15'984;3'119
03.08.15;25'848;7'818;;7'818;;;20'690;6'767
04.08.15;27'348;3'454;;3'454;;;21'891;2'990
05.08.15;27'314;3'402;142;3'544;;;21'864;3'068
06.08.15;25'290;4'817;;4'817;;;20'244;4'169
07.08.15;25'532;6'862;;6'862;;;20'437;5'939
08.08.15;26'664;8'319;;8'319;;;21'344;7'201
09.08.15;24'942;0;;0;;;19'965;0
10.08.15;27'850;8'732;;8'732;;;22'293;7'558
11.08.15;31'674;3'937;;3'937;;;25'354;3'408
12.08.15;36'252;5'402;;5'402;;;29'018;4'676
13.08.15;28'222;6'416;;6'416;;;22'591;5'553
14.08.15;28'308;0;;0;;;22'660;0
15.08.15;27'240;0;;0;;;21'805;0
16.08.15;27'692;5'668;;5'668;;;22'166;4'906
17.08.15;27'612;7;;7;;;22'102;6
18.08.15;30'676;35;;35;;;24'555;30
19.08.15;35'200;3'173;;3'173;;;28'176;2'746
20.08.15;31'360;5'068;;5'068;;;25'103;4'387
21.08.15;28'404;7'854;;7'854;;;22'736;6'798
22.08.15;25'600;8'957;;8'957;;;20'492;7'753
23.08.15;26'196;240;;240;;;20'969;208
24.08.15;27'442;0;;0;;;21'966;0
25.08.15;27'510;4'276;;4'276;;;22'021;3'701
26.08.15;28'936;7'300;3'754;11'054;;;23'162;9'568
27.08.15;31'668;6'002;1'429;7'431;;;25'349;6'432
28.08.15;33'836;8'688;;8'688;;;27'084;7'520
29.08.15;29'560;13'228;;13'228;;;23'662;11'450
30.08.15;26'480;9'416;;9'416;;;21'196;8'150
31.08.15;30'340;7'918;;7'918;462'758;5'107'923;24'286;6'853
01.09.15;32'412;846;;846;;;25'945;732
02.09.15;32'724;3'894;;3'894;;;26'194;3'370
03.09.15;32'988;2'297;;2'297;;;26'406;1'988
04.09.15;29'130;3'191;;3'191;;;23'317;2'762
05.09.15;32'106;3'100;;3'100;;;25'700;2'683
06.09.15;28'032;10'378;606;10'984;;;22'439;9'507
07.09.15;27'804;6'587;;6'587;;;22'256;5'701
08.09.15;32'944;4'708;;4'708;;;26'370;4'075
09.09.15;33'108;10'538;;10'538;;;26'502;9'121
10.09.15;33'214;7'336;;7'336;;;26'587;6'350
11.09.15;28'062;2'099;;2'099;;;22'463;1'817
12.09.15;29'396;3'198;;3'198;;;23'530;2'768
13.09.15;30'804;6'057;;6'057;;;24'657;5'243
14.09.15;31'816;5'922;;5'922;;;25'468;5'126
15.09.15;32'316;971;;971;;;25'868;840
16.09.15;34'076;11'951;779;12'730;;;27'277;11'019
17.09.15;27'852;3'617;;3'617;;;22'294;3'131
18.09.15;25'672;2'747;;2'747;;;20'549;2'378
19.09.15;24'648;6'330;;6'330;;;19'730;5'479
20.09.15;27'874;14'658;;14'658;;;22'312;12'687
21.09.15;26'910;6'536;;6'536;;;21'540;5'657
22.09.15;28'468;14'437;;14'437;;;22'788;12'496
23.09.15;30'134;4'870;;4'870;;;24'121;4'215
24.09.15;30'860;4'867;;4'867;;;24'702;4'213
25.09.15;28'536;14'120;;14'120;;;22'842;12'222
26.09.15;24'604;4'135;;4'135;;;19'695;3'579
27.09.15;23'882;1;;1;;;19'117;1
28.09.15;25'992;5'105;;5'105;;;20'806;4'419
29.09.15;30'568;13'514;285;13'799;;;24'469;11'944
30.09.15;28'210;4'782;5'617;10'399;416'652;4'599'005;22'581;9'001
01.10.15;19'000;24'223;7'404;31'627;;;15'209;27'375
02.10.15;30'314;43'193;;43'193;;;24'265;37'386
03.10.15;23'238;39'598;;39'598;;;18'601;34'274
04.10.15;20'162;9'439;;9'439;;;16'139;8'170
05.10.15;29'908;30'876;;30'876;;;23'940;26'725
06.10.15;32'372;26'188;;26'188;;;25'913;22'667
07.10.15;22'280;15'148;3'709;18'857;;;17'834;16'322
08.10.15;29'436;22'747;;22'747;;;23'562;19'689
09.10.15;29'118;17'026;;17'026;;;23'308;14'737
10.10.15;28'206;17'323;;17'323;;;22'578;14'994
11.10.15;22'588;12'830;;12'830;;;18'081;11'105
12.10.15;25'692;16'019;;16'019;;;20'565;13'865
13.10.15;29'298;20'739;;20'739;;;23'452;17'951
14.10.15;32'180;24'012;;24'012;;;25'759;20'784
15.10.15;30'602;19'951;1'355;21'306;;;24'496;18'442
16.10.15;30'304;22'400;9;22'409;;;24'257;19'396
17.10.15;27'670;8'976;;8'976;;;22'149;7'769
18.10.15;32'602;18'614;;18'614;;;26'097;16'111
19.10.15;30'112;17'517;;17'517;;;24'104;15'162
20.10.15;31'090;13'525;1'250;14'775;;;24'886;12'789
21.10.15;30'328;9'236;;9'236;;;24'276;7'994
22.10.15;31'394;20'357;;20'357;;;25'130;17'620
23.10.15;29'196;22'480;;22'480;;;23'370;19'458
24.10.15;25'608;15'298;;15'298;;;20'498;13'241
25.10.15;28'352;14'417;;14'417;;;22'695;12'479
26.10.15;29'698;16'521;;16'521;;;23'772;14'300
27.10.15;32'342;22'419;;22'419;;;25'889;19'405
28.10.15;25'276;13'652;8'439;22'091;;;20'233;19'121
29.10.15;27'772;15'837;;15'837;;;22'230;13'708
30.10.15;29'880;18'277;;18'277;;;23'918;15'820
31.10.15;25'952;13'346;;13'346;421'011;4'647'119;20'774;11'552
01.11.15;24'352;7'939;;7'939;;;19'493;6'872
02.11.15;27'518;5'373;;5'373;;;22'027;4'651
03.11.15;31'830;10'929;398;11'327;;;25'479;9'804
04.11.15;35'194;23'949;;23'949;;;28'171;20'729
05.11.15;29'120;17'944;2'142;20'086;;;23'309;17'386
06.11.15;30'690;21'998;;21'998;;;24'566;19'040
07.11.15;28'628;17'419;;17'419;;;22'916;15'077
08.11.15;26'952;16'475;;16'475;;;21'574;14'260
09.11.15;28'754;22'735;;22'735;;;23'017;19'678
10.11.15;32'736;20'766;;20'766;;;26'204;17'974
11.11.15;33'696;18'342;;18'342;;;26'972;15'876
12.11.15;31'200;6'766;;6'766;;;24'974;5'856
13.11.15;26'894;9'448;;9'448;;;21'528;8'178
14.11.15;23'714;18'399;;18'399;;;18'982;15'925
15.11.15;21'700;18'736;;18'736;;;17'370;16'217
16.11.15;24'808;22'449;;22'449;;;19'858;19'431
17.11.15;29'146;22'453;;22'453;;;23'330;19'434
18.11.15;28'754;18'869;;18'869;;;23'017;16'332
19.11.15;27'668;21'659;;21'659;;;22'147;18'747
20.11.15;29'240;23'881;;23'881;;;23'406;20'670
21.11.15;29'742;23'415;;23'415;;;23'807;20'267
22.11.15;33'090;7'995;;7'995;;;26'487;6'920
23.11.15;26'764;4'152;;4'152;;;21'424;3'594
24.11.15;31'776;11'587;84;11'671;;;25'436;10'102
25.11.15;19'612;10'888;5'496;16'384;;;15'699;14'181
26.11.15;29'030;20'880;;20'880;;;23'237;18'073
27.11.15;30'380;15'902;;15'902;;;24'318;13'764
28.11.15;34'254;10'277;;10'277;;;27'419;8'895
29.11.15;29'440;11'282;;11'282;;;23'566;9'765
30.11.15;32'412;14'039;;14'039;395'736;4'368'134;25'945;12'152
01.12.15;31'880;8'993;;8'993;;;25'519;7'784
02.12.15;36'732;9'000;;9'000;;;29'403;7'790
03.12.15;24'440;8'000;;8'000;;;19'563;6'924
04.12.15;32'276;13'512;;13'512;;;25'836;11'695
05.12.15;29'900;10'504;10;10'514;;;23'934;9'100
06.12.15;25'904;20'450;1;20'451;;;20'735;17'701
07.12.15;32'778;8'350;;8'350;;;26'238;7'227
08.12.15;33'724;6'415;;6'415;;;26'995;5'553
09.12.15;31'608;19'957;;19'957;;;25'301;17'274
10.12.15;34'614;17'650;;17'650;;;27'707;15'277
11.12.15;32'106;11'925;;11'925;;;25'700;10'322
12.12.15;33'760;11'313;;11'313;;;27'024;9'792
13.12.15;43'962;26'000;;26'000;;;35'190;22'504
14.12.15;35'110;5'439;1;5'440;;;28'104;4'709
15.12.15;32'310;17'342;2;17'344;;;25'863;15'012
16.12.15;30'000;11'989;;11'989;;;24'014;10'377
17.12.15;30'000;16'431;;16'431;;;24'014;14'222
18.12.15;30'000;10'822;;10'822;;;24'014;9'367
19.12.15;30'000;25'435;;25'435;;;24'014;22'015
20.12.15;30'000;20'554;;20'554;;;24'014;17'791
21.12.15;30'000;17'000;;17'000;;;24'014;14'714
22.12.15;26'565;15'686;;15'686;;;21'264;13'577
23.12.15;31'325;12'137;;12'137;;;25'075;10'505
24.12.15;29'361;11'502;;11'502;;;23'502;9'956
25.12.15;38'894;16'524;;16'524;;;31'133;14'302
26.12.15;18'019;8'000;;8'000;;;14'424;6'924
27.12.15;16'264;8'000;;8'000;;;13'019;6'924
28.12.15;23'747;20'000;;20'000;;;19'009;17'311
29.12.15;29'331;21'000;;21'000;;;23'478;18'177
30.12.15;30'546;21'589;;21'589;;;24'451;18'686
31.12.15;30'526;21'301;;21'301;428'666;4'731'615;24'435;18'437
